chunk_id	layer	section	para	seq	class	raw_text	book	chapter	verses	target	confidence	resolution	carried_from	divergence_id	pair_confidence	witness_target	divergence_class	divergence_why
ddc-2-11	la	la	{¶3}	0	BOOK CH V-LIST	Luc. x. 36, 37.	Luke	10	36,37	Luke 10:36,37	high	book-named				Luke 10:36,37		
ddc-2-11	la	la	{¶4}	0	BOOK CH V	Gal. vi. 10.	Gal	6	10	Gal 6:10	high	book-named				Gal 6:10		
ddc-2-11	la	la	{¶4}	1	BOOK CH V	Eph. iv. 3.	Eph	4	3	Eph 4:3	high	book-named				Eph 4:3		
ddc-2-11	la	la	{¶5}	0	BOOK CH V	Rom. ix. 3.	Rom	9	3	Rom 9:3	high	book-named				Rom 9:3		
ddc-2-11	la	la	{¶5}	1	BOOK CH V	1 Tim. v. 4.	1Tim	5	4	1Tim 5:4	high	book-named				1Tim 5:4		
ddc-2-11	la	la	{¶6}	0	BOOK CH V-LIST	Exod. xxiii. 4, 5.	Exod	23	4,5	Exod 23:4,5	high	book-named				Exod 23:4,5		
ddc-2-11	la	la	{¶6}	1	BOOK CH V-LIST	Prov. xxv. 21, 22.	Prov	25	21,22	Prov 25:21,22	high	book-named				Prov 25:21,22		
ddc-2-11	la	la	{¶6}	2	BOOK CH V-LIST	Rom. xii. 14, 20.	Rom	12	14,20	Rom 12:14,20	high	book-named				Rom 12:14,20		
ddc-2-11	la	la	{¶6}	3	BOOK CH V	Matt. v. 44.	Matt	5	44	Matt 5:44	high	book-named				Matt 5:44		
ddc-2-11	la	la	{¶6}	4	BOOK CH V+&c	Luc. vi. 27, &c.	Luke	6	27	Luke 6:27 &c.	high	book-named				Luke 6:27 &c.		
ddc-2-11	la	la	{¶6}	5	BOOK CH V	Matt. vi. 15.	Matt	6	15	Matt 6:15	high	book-named				Matt 6:15		
ddc-2-11	la	la	{¶6}	6	BOOK CH V	Luc. xxii. 51.	Luke	22	51	Luke 22:51	high	book-named				Luke 22:51		
ddc-2-11	la	la	{¶6}	7	— CH V	et xxiii. 34.	Luke	23	34	Luke 23:34	carried	book-carried	ddc-2-11:la:{¶6}:6			Luke 23:34		
ddc-2-11	la	la	{¶6}	8	BOOK CH V	Rom. xii. 17.	Rom	12	17	Rom 12:17	high	book-named				Rom 12:17		
ddc-2-11	la	la	{¶6}	9	— — V	et v. 21.	Rom	12	21	Rom 12:21	cross-layer	et-v-settled-by-english-layer	ddc-2-11:la:{¶6}:8			Rom 12:21		
ddc-2-11	la	la	{¶6}	10	BOOK CH V	1 Thess. v. 15.	1Thess	5	15	1Thess 5:15	high	book-named				1Thess 5:15		
ddc-2-11	la	la	{¶6}	11	BOOK CH V	1 Pet. iii. 9.	1Pet	3	9	1Pet 3:9	high	book-named				1Pet 3:9		
ddc-2-11	la	la	{¶6}	12	BOOK CH V+&c	Matt. v. 44, &c.	Matt	5	44	Matt 5:44 &c.	high	book-named		d239	plausible	Matt 5:44		
ddc-2-11	la	la	{¶6}	13	BOOK CH V	Rom. v. 8.	Rom	5	8	Rom 5:8	high	book-named				Rom 5:8		
ddc-2-11	la	la	{¶7}	0	BOOK CH V-LIST	Jacob. ii. 15, 16.	Jas	2	15,16	Jas 2:15,16	high	book-named				Jas 2:15,16		
ddc-2-11	la	la	{¶8}	0	BOOK CH V-LIST	Matt. vi. 2, 3, 4.	Matt	6	2,3,4	Matt 6:2,3,4	high	book-named		d240	plausible	Matt 6:2,3,4		
ddc-2-11	la	la	{¶9}	0	BOOK CH V	1 Sam. ii. 29.	1Sam	2	29	1Sam 2:29	high	book-named				1Sam 2:29		
ddc-2-11	la	la	{¶9}	1	— CH V	et xvi. 2.	1Sam	16	2	1Sam 16:2	carried	book-carried	ddc-2-11:la:{¶9}:0	d241	plausible	1Sam 16:1	versification	J–T 1Sam 16 begins at 1Sam 15:35 (read, leaf 254)
ddc-2-11	la	la	{¶9}	2	BOOK CH V	Matt. x. 37.	Matt	10	37	Matt 10:37	high	book-named				Matt 10:37		
ddc-2-11	la	la	{¶10}	0	BOOK CH V	1 Joan. iii. 15.	1John	3	15	1John 3:15	high	book-named				1John 3:15		
ddc-2-11	la	la	{¶10}	1	— CH V	et iv. 8.	1John	4	8	1John 4:8	carried	book-carried	ddc-2-11:la:{¶10}:0			1John 4:8		
ddc-2-11	la	la	{¶11}	0	BOOK CH V	Prov. xxvi. 17.	Prov	26	17	Prov 26:17	high	book-named				Prov 26:17		
ddc-2-11	la	la	{¶12}	0	BOOK CH V	2 Chron. xix. 2.	2Chr	19	2	2Chr 19:2	high	book-named				2Chr 19:2		
ddc-2-11	la	la	{¶12}	1	BOOK CH V	Psal. xxxi. 7.	Ps	31	7	Ps 31:7	high	book-named		d242	plausible	Ps 31:6	versification-predicted	Psalm superscription numbered as 1 verse (§13.1 rule; this psalm's own leaf not read)
ddc-2-11	la	la	{¶12}	2	— CH V-LIST	et cxxxix. 21, 22.	Ps	139	21,22	Ps 139:21,22	carried	book-carried	ddc-2-11:la:{¶12}:1			Ps 139:21,22		
ddc-2-11	la	la	{¶12}	3	BOOK CH V	Prov. xxviii. 4.	Prov	28	4	Prov 28:4	high	book-named				Prov 28:4		
ddc-2-11	la	la	{¶12}	4	— CH V	et xxix. 27.	Prov	29	27	Prov 29:27	carried	book-carried	ddc-2-11:la:{¶12}:3			Prov 29:27		
ddc-2-11	la	la	{¶12}	5	BOOK CH V	Jer. xlviii. 10.	Jer	48	10	Jer 48:10	high	book-named				Jer 48:10		
ddc-2-11	la	la	{¶12}	6	BOOK CH V	Exod. xxxii. 27.	Exod	32	27	Exod 32:27	high	book-named				Exod 32:27		
ddc-2-11	la	la	{¶12}	7	BOOK CH V-LIST	Deut. xiii. 6, 7, 8.	Deut	13	6,7,8	Deut 13:6,7,8	high	book-named		d243	plausible	Deut 13:6,7,8		
ddc-2-11	la	la	{¶12}	8	BOOK CH V	Luc. xiv. 26.	Luke	14	26	Luke 14:26	high	book-named				Luke 14:26		
ddc-2-11	la	la	{¶12}	9	BOOK CH V	Marc. viii. 33.	Mark	8	33	Mark 8:33	high	book-named				Mark 8:33		
ddc-2-11	la	la	{¶15}	0	BOOK CH V+&c	Deut. xxii. 1, &c.	Deut	22	1	Deut 22:1 &c.	high	book-named				Deut 22:1 &c.		
ddc-2-11	la	la	{¶17}	0	BOOK CH V	Gen. l. 3.	Gen	50	3	Gen 50:3	high	book-named				Gen 50:3		
ddc-2-11	la	la	{¶17}	1	BOOK CH V	2 Sam. i. 12.	2Sam	1	12	2Sam 1:12	high	book-named				2Sam 1:12		
ddc-2-11	la	la	{¶17}	2	— CH V-LIST	et iii. 31, 32.	2Sam	3	31,32	2Sam 3:31,32	carried	book-carried	ddc-2-11:la:{¶17}:1			2Sam 3:31,32		
ddc-2-11	la	la	{¶17}	3	BOOK CH V	Gen. l. 10.	Gen	50	10	Gen 50:10	high	book-named				Gen 50:10		
ddc-2-11	la	la	{¶17}	4	BOOK CH V	Act. viii. 2.	Acts	8	2	Acts 8:2	high	book-named				Acts 8:2		
ddc-2-11	la	la	{¶17}	5	BOOK CH V-LIST	Lev. xxi. 2, 4, 5.	Lev	21	2,4,5	Lev 21:2,4,5	high	book-named				Lev 21:2,4,5		
ddc-2-11	la	la	{¶17}	6	BOOK CH V	Deut. xiv. 1.	Deut	14	1	Deut 14:1	high	book-named				Deut 14:1		
